# 30/12/2021 11:36:47 AM: Prices - EPEX Spot Market Auction - netherlands - Currency: EUR
Delivery day,Hour 1,Hour 2,Hour 3A,Hour 3B,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24,Minimum,Maximum,Middle-Night,Early Morning,Late Morning,Early Afternoon,Rush Hour,Off-Peak 2,Baseload,Peakload,Night,Off-Peak 1,Business,Offpeak,Morning,High Noon,Afternoon,Evening,Sunpeak
31/12/2021,5.71,26.15,25.12,,0.00,0.00,0.04,23.00,90.00,129.45,136.35,110.83,105.86,97.83,75.00,99.00,99.90,139.30,142.53,130.00,74.90,94.00,84.90,99.00,98.20,0.00,142.53,14.25,28.26,120.62,92.93,121.68,94.03,78.63,111.75,9.50,21.25,106.78,45.51,94.70,97.38,120.18,96.83,98.07
30/12/2021,73.08,47.86,33.12,,25.56,21.36,43.10,52.97,98.62,118.45,130.00,130.00,100.00,130.00,112.43,109.90,140.00,117.51,182.15,186.00,152.59,141.33,135.00,94.90,55.65,21.36,186.00,44.91,54.01,119.61,123.08,159.56,106.72,101.32,134.09,40.68,49.46,121.35,68.55,100.01,118.11,137.39,127.58,120.39
29/12/2021,112.06,93.27,94.37,,90.82,94.01,117.63,139.98,188.00,200.00,203.45,204.20,204.38,205.61,205.62,205.70,200.00,195.99,203.44,183.93,163.63,130.06,108.64,106.34,83.35,83.35,205.70,97.63,134.91,203.01,204.23,186.75,107.10,155.60,198.00,100.36,116.27,203.62,113.21,182.86,204.95,201.28,129.33,204.25
28/12/2021,74.40,68.60,52.84,,37.11,38.79,48.60,75.59,101.96,123.80,143.25,142.00,134.87,125.99,114.49,130.60,145.61,144.90,164.90,150.06,149.89,139.09,125.22,127.68,110.08,37.11,164.90,58.24,66.24,135.98,129.17,152.44,125.52,111.26,139.20,53.39,62.24,132.58,83.33,111.15,129.34,146.50,133.67,132.26
27/12/2021,180.20,158.03,159.61,,114.38,76.04,97.53,179.73,189.97,190.50,219.90,211.75,211.77,210.04,200.18,188.43,186.00,180.20,205.00,207.10,196.05,178.39,152.90,113.05,96.27,76.04,219.90,153.06,135.82,208.48,196.16,197.09,135.15,170.96,200.58,130.97,144.44,202.32,141.34,195.03,208.44,189.91,157.29,201.36
26/12/2021,174.41,153.83,152.37,,133.26,126.66,130.24,132.24,162.50,174.39,185.94,199.35,202.81,199.40,193.73,193.30,193.39,195.65,224.75,282.71,270.00,207.74,199.74,191.06,172.70,126.66,282.71,153.47,137.91,190.62,194.96,243.28,192.81,185.51,209.62,145.13,145.69,192.79,161.40,163.77,198.82,201.77,220.66,197.00
25/12/2021,212.60,196.97,184.07,,162.22,135.00,125.31,128.03,125.79,164.44,199.69,212.60,212.60,209.90,200.00,212.70,226.00,231.52,244.81,245.10,211.27,222.15,220.84,228.11,179.12,125.31,245.10,188.97,128.53,197.33,212.15,233.18,212.56,195.45,214.22,169.36,158.75,204.74,176.68,154.49,208.78,228.76,217.77,212.30
24/12/2021,178.94,166.60,161.15,,165.96,167.45,211.00,300.00,299.90,309.90,399.90,420.00,329.90,280.00,329.90,380.70,313.00,329.90,391.92,300.10,322.08,303.27,270.40,265.46,259.76,161.15,420.00,168.16,244.59,364.93,325.90,336.00,274.72,285.72,342.28,175.18,206.38,345.41,229.16,327.43,339.95,353.88,286.85,342.25
23/12/2021,356.64,334.31,305.37,,283.51,299.40,324.68,379.00,391.54,425.36,450.00,390.00,380.00,341.07,350.00,335.10,350.00,350.00,436.00,334.10,301.10,300.00,239.90,186.49,149.98,149.98,450.00,319.96,348.66,411.34,344.04,355.30,219.09,333.06,370.23,317.32,334.31,377.69,295.90,411.48,365.27,367.78,251.93,357.70
22/12/2021,331.44,322.60,311.22,,297.18,309.07,327.00,399.90,500.00,489.69,481.03,458.40,385.00,319.90,352.90,466.03,482.00,505.50,529.20,500.47,433.59,335.46,318.80,325.00,331.75,297.18,529.20,315.61,383.99,453.53,405.21,492.19,327.75,396.38,450.31,316.42,349.80,429.37,342.45,467.66,379.05,495.68,374.18,410.71
21/12/2021,279.91,298.09,293.20,,294.14,290.72,322.48,399.98,471.02,510.02,513.58,503.39,480.00,454.75,460.00,476.21,505.13,539.91,620.00,600.10,520.00,470.59,400.57,326.11,286.32,279.91,620.00,291.34,371.05,501.75,474.02,570.00,370.90,429.84,515.26,296.42,331.19,487.89,344.43,473.65,474.54,535.31,433.95,479.91
20/12/2021,333.10,300.10,260.44,,248.46,292.79,294.00,299.90,396.00,433.47,410.03,373.78,339.90,289.62,351.96,404.92,428.82,439.97,460.08,465.98,439.97,424.00,371.96,330.00,269.50,248.46,465.98,285.53,320.67,389.30,368.83,451.50,348.87,360.78,403.21,288.15,303.10,379.06,318.35,384.85,338.82,433.45,383.57,364.83
19/12/2021,350.10,332.00,300.10,,293.00,250.10,250.10,247.90,254.70,260.00,307.10,326.00,332.00,350.00,325.41,256.22,257.80,245.00,290.00,269.90,253.60,319.90,319.90,328.00,233.07,233.07,350.10,318.80,250.70,306.28,297.36,264.63,300.22,289.66,289.42,295.90,284.75,301.82,289.91,267.43,333.35,262.26,287.40,307.91
18/12/2021,310.12,271.63,250.10,,269.75,252.40,232.75,278.20,299.67,313.08,335.28,324.10,312.00,295.00,285.26,286.80,280.09,311.01,332.53,345.00,266.72,251.00,330.00,250.00,338.00,232.75,345.00,275.40,265.76,321.12,286.79,313.82,292.25,292.52,307.24,264.46,270.58,303.95,277.80,306.56,304.09,302.61,296.79,297.21
17/12/2021,289.26,261.31,247.42,,238.88,250.00,270.09,303.81,391.00,403.92,403.92,398.95,392.46,376.13,351.71,361.51,392.10,382.32,397.30,394.42,390.10,341.98,294.00,294.96,266.90,238.88,403.92,259.22,303.73,399.81,370.36,391.04,299.46,337.27,387.07,259.49,281.47,385.09,287.47,375.66,379.81,383.31,330.39,378.81
16/12/2021,239.90,226.49,201.96,,227.82,251.78,266.49,300.39,298.00,411.12,416.80,408.80,400.00,374.20,387.01,395.24,399.72,416.23,425.00,417.25,404.57,350.00,243.78,281.23,253.44,201.96,425.00,224.04,279.17,409.18,389.04,415.76,282.11,333.22,404.66,235.74,251.60,399.11,261.77,356.58,392.50,409.05,325.05,394.16
15/12/2021,219.40,203.69,206.74,,200.39,196.83,229.90,263.60,300.10,269.39,280.17,290.89,300.10,303.88,314.60,339.60,349.92,350.00,402.00,303.96,277.81,272.29,244.94,251.17,246.21,196.83,402.00,207.56,247.61,285.14,327.00,333.44,253.65,275.73,315.19,209.49,227.58,306.07,236.27,278.32,302.37,360.38,266.06,316.50
14/12/2021,199.90,149.32,132.77,,129.02,145.58,186.92,201.13,277.00,337.84,363.71,362.60,340.00,300.10,304.00,313.50,351.65,373.40,400.00,393.50,359.68,337.89,287.82,250.00,230.96,129.02,400.00,152.75,202.66,351.04,317.31,381.65,276.67,280.35,350.00,157.25,177.71,334.18,210.69,294.92,326.68,359.64,309.98,328.64
13/12/2021,176.04,144.90,131.25,,127.65,134.20,145.87,269.20,298.36,290.73,303.36,299.94,268.00,270.00,250.04,278.00,300.00,328.82,353.73,278.76,270.00,236.63,222.02,227.50,199.90,127.65,353.73,144.96,211.91,290.51,274.51,307.83,221.51,241.87,290.95,143.32,178.43,282.51,192.79,290.41,272.00,315.14,239.14,277.66
12/12/2021,106.65,116.64,99.98,,95.00,104.01,105.68,105.94,108.27,137.00,200.10,225.00,239.00,230.00,242.00,258.01,231.08,253.33,282.00,287.56,250.81,260.97,230.23,235.01,178.42,95.00,287.56,104.57,105.98,200.28,240.27,268.43,226.16,190.95,236.32,104.66,105.27,220.27,145.57,137.83,234.00,256.11,240.50,237.52
11/12/2021,221.11,213.53,208.03,,206.60,201.60,206.70,220.07,243.90,266.62,290.60,279.00,206.30,202.30,200.00,235.30,247.07,263.73,281.59,274.19,222.50,218.80,193.61,160.55,130.01,130.01,290.60,212.32,218.07,260.63,221.17,260.50,175.74,224.74,247.43,209.60,215.19,240.90,202.04,255.30,221.90,256.92,199.94,228.33
10/12/2021,195.54,170.78,143.49,,146.78,155.01,200.02,226.87,282.83,299.42,290.81,282.78,266.49,250.79,245.10,242.85,254.61,274.76,300.04,292.98,250.28,250.00,228.92,231.48,209.18,143.49,300.04,164.15,216.18,284.88,248.34,279.52,229.90,237.16,270.91,168.60,190.17,266.61,203.41,274.98,261.29,268.07,243.81,257.10
09/12/2021,184.81,192.01,159.90,,174.45,194.96,194.11,241.70,308.20,338.29,346.20,338.99,340.00,335.64,334.51,342.19,343.00,349.21,355.69,345.00,316.30,239.90,217.99,224.51,192.60,159.90,355.69,177.79,234.74,340.87,338.84,341.55,218.75,275.42,340.42,183.37,206.27,339.85,210.43,308.60,337.29,347.52,256.05,339.06
08/12/2021,130.00,77.64,124.14,,120.80,79.95,126.03,117.46,175.00,222.48,216.97,193.70,194.50,188.34,215.27,229.90,245.69,245.33,292.00,249.90,223.00,206.30,191.00,219.00,160.71,77.64,292.00,113.15,124.61,206.91,219.80,252.56,194.25,185.21,226.42,109.76,118.88,213.36,144.00,182.98,197.95,253.23,208.32,211.23
07/12/2021,130.37,123.91,114.90,,114.61,131.14,133.82,203.22,257.06,275.91,279.82,273.99,219.00,194.96,189.90,198.62,190.06,182.04,263.79,188.69,161.87,179.00,169.93,122.53,93.00,93.00,279.82,120.95,181.31,262.18,193.39,199.10,141.12,183.01,218.22,124.79,151.13,227.78,147.79,254.00,219.46,208.63,152.50,211.09
06/12/2021,196.78,180.00,182.75,,172.78,173.55,180.16,259.03,348.10,371.54,363.67,360.00,353.01,331.71,315.13,314.93,281.50,234.80,300.00,221.00,181.70,172.47,155.22,156.28,128.12,128.12,371.54,183.08,240.21,362.06,310.82,234.38,153.02,247.26,302.42,181.00,211.64,336.44,192.10,335.59,339.96,282.81,169.13,326.05
05/12/2021,87.39,102.96,109.74,,109.56,110.09,112.77,180.10,211.00,200.00,200.10,180.10,235.00,218.00,217.00,199.14,209.27,229.07,256.91,253.79,197.54,200.00,181.49,191.98,147.01,87.39,256.91,102.41,153.49,203.80,210.85,234.33,180.12,180.83,216.33,105.42,127.95,207.33,145.34,197.80,212.53,223.60,195.30,209.75
04/12/2021,258.00,198.00,163.79,,185.00,185.01,183.79,187.60,205.00,222.79,235.01,239.55,235.01,237.92,222.00,218.73,210.00,222.00,243.05,203.00,171.47,189.42,136.88,129.87,120.86,120.86,258.00,201.20,190.35,233.09,222.16,209.88,144.26,200.16,221.71,195.60,195.77,227.63,178.60,212.60,233.62,223.45,158.58,227.20
03/12/2021,237.90,229.60,216.49,,173.50,122.62,125.93,169.95,232.10,243.88,217.75,180.96,160.41,140.01,140.80,179.93,164.90,180.00,280.00,266.95,184.60,219.00,199.90,199.93,220.00,122.62,280.00,214.37,162.65,200.75,156.41,227.89,209.71,195.30,195.02,184.34,188.51,178.58,195.58,215.92,155.55,201.21,215.06,161.17
02/12/2021,119.90,115.93,109.15,,110.57,112.66,115.97,205.00,199.10,220.70,215.25,196.48,222.80,217.52,226.37,251.90,304.96,327.82,354.98,315.20,219.00,208.80,205.00,206.78,172.48,109.15,354.98,113.89,158.18,213.81,250.19,304.25,198.27,206.43,256.08,114.03,136.04,232.00,156.78,210.01,215.79,309.92,221.21,236.67
