Date (CET),Outturn,Day Ahead Forecast,DEVIATION
,MW,MW,MW
[01/01/2021 00:00],0,0,0
[01/01/2021 01:00],0,0,0
[01/01/2021 02:00],0,0,0
[01/01/2021 03:00],0,0,0
[01/01/2021 04:00],2,0,2
[01/01/2021 05:00],6,0,6
[01/01/2021 06:00],17,0,17
[01/01/2021 07:00],41,0,41
[01/01/2021 08:00],32,0,32
[01/01/2021 09:00],161,0,161
[01/01/2021 10:00],684,425,259
[01/01/2021 11:00],1230,849,381
[01/01/2021 12:00],1531,1228,303
[01/01/2021 13:00],1545,1352,193
[01/01/2021 14:00],1177,1237,-60
[01/01/2021 15:00],475,767,-293
[01/01/2021 16:00],59,227,-168
[01/01/2021 17:00],39,57,-18
[01/01/2021 18:00],20,32,-12
[01/01/2021 19:00],16,30,-13
[01/01/2021 20:00],10,0,10
[01/01/2021 21:00],4,0,4
[01/01/2021 22:00],0,0,0
[01/01/2021 23:00],0,0,0
[02/01/2021 00:00],0,0,0
[02/01/2021 01:00],0,0,0
[02/01/2021 02:00],0,0,0
[02/01/2021 03:00],0,0,0
[02/01/2021 04:00],2,0,2
[02/01/2021 05:00],6,0,6
[02/01/2021 06:00],17,0,17
[02/01/2021 07:00],30,0,30
[02/01/2021 08:00],26,0,26
[02/01/2021 09:00],125,0,125
[02/01/2021 10:00],513,425,88
[02/01/2021 11:00],833,846,-13
[02/01/2021 12:00],981,1270,-289
[02/01/2021 13:00],857,1392,-535
[02/01/2021 14:00],595,1316,-721
[02/01/2021 15:00],301,799,-498
[02/01/2021 16:00],49,242,-193
[02/01/2021 17:00],23,81,-58
[02/01/2021 18:00],19,47,-28
[02/01/2021 19:00],16,26,-10
[02/01/2021 20:00],8,0,8
[02/01/2021 21:00],4,0,4
[02/01/2021 22:00],0,0,0
[02/01/2021 23:00],0,0,0
[03/01/2021 00:00],0,0,0
[03/01/2021 01:00],0,0,0
[03/01/2021 02:00],0,0,0
[03/01/2021 03:00],0,0,0
[03/01/2021 04:00],2,0,2
[03/01/2021 05:00],5,0,5
[03/01/2021 06:00],15,0,15
[03/01/2021 07:00],24,0,24
[03/01/2021 08:00],27,0,27
[03/01/2021 09:00],36,0,36
[03/01/2021 10:00],165,371,-205
[03/01/2021 11:00],392,632,-240
[03/01/2021 12:00],596,849,-253
[03/01/2021 13:00],639,1003,-364
[03/01/2021 14:00],490,1185,-695
[03/01/2021 15:00],173,713,-540
[03/01/2021 16:00],29,213,-184
[03/01/2021 17:00],32,64,-32
[03/01/2021 18:00],23,16,7
[03/01/2021 19:00],15,17,-2
[03/01/2021 20:00],8,0,8
[03/01/2021 21:00],4,0,4
[03/01/2021 22:00],0,0,0
[03/01/2021 23:00],0,0,0
[04/01/2021 00:00],0,0,0
[04/01/2021 01:00],0,0,0
[04/01/2021 02:00],0,0,0
[04/01/2021 03:00],0,0,0
[04/01/2021 04:00],2,0,2
[04/01/2021 05:00],5,0,5
[04/01/2021 06:00],8,0,8
[04/01/2021 07:00],23,0,23
[04/01/2021 08:00],21,0,21
[04/01/2021 09:00],49,0,49
[04/01/2021 10:00],171,280,-110
[04/01/2021 11:00],266,507,-241
[04/01/2021 12:00],320,660,-340
[04/01/2021 13:00],303,702,-399
[04/01/2021 14:00],206,484,-278
[04/01/2021 15:00],80,334,-254
[04/01/2021 16:00],25,104,-79
[04/01/2021 17:00],18,0,18
[04/01/2021 18:00],19,0,19
[04/01/2021 19:00],15,0,15
[04/01/2021 20:00],8,0,8
[04/01/2021 21:00],4,0,4
[04/01/2021 22:00],0,0,0
[04/01/2021 23:00],0,0,0
[05/01/2021 00:00],0,0,0
[05/01/2021 01:00],0,0,0
[05/01/2021 02:00],0,0,0
[05/01/2021 03:00],0,0,0
[05/01/2021 04:00],2,0,2
[05/01/2021 05:00],5,0,5
[05/01/2021 06:00],19,0,19
[05/01/2021 07:00],18,0,18
[05/01/2021 08:00],23,0,23
[05/01/2021 09:00],39,0,39
[05/01/2021 10:00],139,309,-169
[05/01/2021 11:00],240,496,-256
[05/01/2021 12:00],280,649,-369
[05/01/2021 13:00],225,651,-425
[05/01/2021 14:00],131,575,-444
[05/01/2021 15:00],49,381,-332
[05/01/2021 16:00],22,117,-94
[05/01/2021 17:00],26,0,26
[05/01/2021 18:00],21,0,21
[05/01/2021 19:00],16,0,16
[05/01/2021 20:00],9,0,9
[05/01/2021 21:00],5,0,5
[05/01/2021 22:00],0,0,0
[05/01/2021 23:00],0,0,0
[06/01/2021 00:00],0,0,0
[06/01/2021 01:00],0,0,0
[06/01/2021 02:00],0,0,0
[06/01/2021 03:00],0,0,0
[06/01/2021 04:00],3,0,3
[06/01/2021 05:00],6,0,6
[06/01/2021 06:00],14,0,14
[06/01/2021 07:00],25,0,25
[06/01/2021 08:00],22,0,22
[06/01/2021 09:00],66,0,66
[06/01/2021 10:00],276,358,-81
[06/01/2021 11:00],479,522,-43
[06/01/2021 12:00],533,751,-218
[06/01/2021 13:00],518,835,-317
[06/01/2021 14:00],399,801,-402
[06/01/2021 15:00],197,473,-276
[06/01/2021 16:00],40,147,-107
[06/01/2021 17:00],28,0,28
[06/01/2021 18:00],18,0,18
[06/01/2021 19:00],18,0,18
[06/01/2021 20:00],11,0,11
[06/01/2021 21:00],5,0,5
[06/01/2021 22:00],0,0,0
[06/01/2021 23:00],0,0,0
[07/01/2021 00:00],0,0,0
[07/01/2021 01:00],0,0,0
[07/01/2021 02:00],0,0,0
[07/01/2021 03:00],0,0,0
[07/01/2021 04:00],2,0,2
[07/01/2021 05:00],6,0,6
