Date (CET),Outturn,Day Ahead Forecast,DEVIATION
,MW,MW,MW
[01/01/2021 12:00],513,442,-282
[01/01/2021 13:00],497,235,-37
[01/01/2021 14:00],495,433,-190
[01/01/2021 15:00],498,537,-268
[01/01/2021 16:00],493,535,-246
[01/01/2021 17:00],484,668,-366
[01/01/2021 18:00],513,779,-428
[01/01/2021 19:00],476,774,-357
[01/01/2021 20:00],500,626,-211
[01/01/2021 21:00],559,528,-146
[01/01/2021 22:00],535,561,-145
[01/01/2021 23:00],469,560,-73
[02/01/2021 00:00],429,579,9
[02/01/2021 01:00],330,478,115
[02/01/2021 02:00],295,374,196
[02/01/2021 03:00],320,499,59
[02/01/2021 04:00],300,499,57
[02/01/2021 05:00],273,541,-88
[02/01/2021 06:00],243,546,-238
[02/01/2021 07:00],312,358,-162
[02/01/2021 08:00],230,681,-516
[02/01/2021 09:00],230,672,-493
[02/01/2021 10:00],170,511,-365
[02/01/2021 11:00],164,448,-313
[02/01/2021 12:00],236,372,-243
[02/01/2021 13:00],143,301,-216
[02/01/2021 14:00],135,144,-74
[02/01/2021 15:00],145,256,-209
[02/01/2021 16:00],179,219,-207
[02/01/2021 17:00],186,222,-222
[02/01/2021 18:00],211,297,-292
[02/01/2021 19:00],218,308,-283
[02/01/2021 20:00],227,353,-221
[02/01/2021 21:00],161,337,-108
[02/01/2021 22:00],176,310,-96
[02/01/2021 23:00],260,346,-190
[03/01/2021 00:00],178,311,-157
[03/01/2021 01:00],379,430,-266
[03/01/2021 02:00],289,425,-267
[03/01/2021 03:00],449,562,-381
[03/01/2021 04:00],496,731,-531
[03/01/2021 05:00],465,767,-575
[03/01/2021 06:00],575,746,-519
[03/01/2021 07:00],916,1162,-870
[03/01/2021 08:00],994,1638,-1201
[03/01/2021 09:00],945,1689,-922
[03/01/2021 10:00],977,1706,-684
[03/01/2021 11:00],1155,1966,-840
[03/01/2021 12:00],1137,2184,-982
[03/01/2021 13:00],1391,2191,-715
[03/01/2021 14:00],1670,2392,-359
[03/01/2021 15:00],2079,3057,-525
[03/01/2021 16:00],2216,3457,-456
[03/01/2021 17:00],2329,3767,-533
[03/01/2021 18:00],2477,3747,-494
[03/01/2021 19:00],2567,3836,-401
[03/01/2021 20:00],2525,3854,-273
[03/01/2021 21:00],2579,3843,-175
[03/01/2021 22:00],2563,4013,-172
[03/01/2021 23:00],2511,3981,-9
[04/01/2021 00:00],2518,4017,-38
[04/01/2021 01:00],2537,3901,83
[04/01/2021 02:00],2591,4042,17
[04/01/2021 03:00],2626,4181,-20
[04/01/2021 04:00],2647,4272,-14
[04/01/2021 05:00],2725,4206,110
[04/01/2021 06:00],2774,4191,158
[04/01/2021 07:00],2789,4225,173
[04/01/2021 08:00],2787,4248,179
[04/01/2021 09:00],2833,4323,76
[04/01/2021 10:00],2880,4296,91
[04/01/2021 11:00],2866,4174,265
[04/01/2021 12:00],2836,3979,429
[04/01/2021 13:00],2804,4092,156
[04/01/2021 14:00],2740,3948,163
[04/01/2021 15:00],2734,3703,308
[04/01/2021 16:00],2699,3606,239
[04/01/2021 17:00],2687,3786,-81
[04/01/2021 18:00],2688,3701,-8
[04/01/2021 19:00],2686,3677,87
[04/01/2021 20:00],2684,3442,387
[04/01/2021 21:00],2613,3643,258
[04/01/2021 22:00],2527,3546,361
[04/01/2021 23:00],2441,3607,240
[05/01/2021 00:00],2438,3638,161
[05/01/2021 01:00],2390,3678,59
[05/01/2021 02:00],2347,3513,162
[05/01/2021 03:00],2286,3230,365
[05/01/2021 04:00],2272,3107,414
[05/01/2021 05:00],2262,3104,416
[05/01/2021 06:00],2198,3304,266
[05/01/2021 07:00],2153,3208,366
[05/01/2021 08:00],1989,2847,640
[05/01/2021 09:00],1739,2908,430
[05/01/2021 10:00],1692,2667,544
[05/01/2021 11:00],1718,2518,692
[05/01/2021 12:00],1764,2474,830
[05/01/2021 13:00],1786,2661,691
[05/01/2021 14:00],1822,2525,821
[05/01/2021 15:00],1832,2432,897
[05/01/2021 16:00],1796,2302,963
[05/01/2021 17:00],1802,2312,824
[05/01/2021 18:00],1763,2371,676
[05/01/2021 19:00],1743,2701,319
[05/01/2021 20:00],1722,2604,335
[05/01/2021 21:00],1626,2555,199
[05/01/2021 22:00],1571,2566,47
[05/01/2021 23:00],1641,2551,76
[06/01/2021 00:00],1617,2585,29
[06/01/2021 01:00],1522,2598,-96
[06/01/2021 02:00],1443,2416,-132
[06/01/2021 03:00],1380,2291,-203
[06/01/2021 04:00],1413,2159,-231
[06/01/2021 05:00],1450,2029,-376
[06/01/2021 06:00],1516,1862,-441
[06/01/2021 07:00],1228,1919,-707
[06/01/2021 08:00],1060,1736,-716
[06/01/2021 09:00],886,1639,-655
[06/01/2021 10:00],773,1515,-611
[06/01/2021 11:00],670,1375,-641
[06/01/2021 12:00],563,1128,-574
[06/01/2021 13:00],442,819,-345
[06/01/2021 14:00],459,890,-394
[06/01/2021 15:00],487,920,-417
[06/01/2021 16:00],550,893,-351
[06/01/2021 17:00],514,994,-282
[06/01/2021 18:00],380,913,-103
[06/01/2021 19:00],364,847,-112
[06/01/2021 20:00],390,821,-106
[06/01/2021 21:00],321,842,-188
[06/01/2021 22:00],470,817,-282
[06/01/2021 23:00],446,857,-365
[07/01/2021 00:00],530,1055,-530
[07/01/2021 01:00],574,647,40
[07/01/2021 02:00],721,799,7
[07/01/2021 03:00],835,815,86
[07/01/2021 04:00],777,843,195
[07/01/2021 05:00],1000,981,156
[07/01/2021 06:00],1111,929,264
[07/01/2021 07:00],1161,1113,195
[07/01/2021 08:00],1083,1090,414
[07/01/2021 09:00],1178,1087,448
[07/01/2021 10:00],1033,1215,155
[07/01/2021 11:00],893,1401,-127
[07/01/2021 12:00],993,1405,-137
[07/01/2021 13:00],986,1622,-323
[07/01/2021 14:00],1106,1691,-307
[07/01/2021 15:00],1011,1764,-309
[07/01/2021 16:00],1123,1727,-235
[07/01/2021 17:00],1203,1581,-138
[07/01/2021 18:00],1304,1515,-156
[07/01/2021 19:00],1297,1489,-208
[07/01/2021 20:00],1171,1405,-162
[07/01/2021 21:00],1120,1549,-334
[07/01/2021 22:00],1107,1528,-413
[07/01/2021 23:00],978,1429,-529
[08/01/2021 00:00],977,1429,-623
[08/01/2021 01:00],1009,1299,-507
[08/01/2021 02:00],933,1391,-667
[08/01/2021 03:00],823,1276,-648
[08/01/2021 04:00],703,1269,-685
[08/01/2021 05:00],632,1125,-542
[08/01/2021 06:00],646,1025,-499
[08/01/2021 07:00],554,986,-483
[08/01/2021 08:00],449,757,-309
[08/01/2021 09:00],346,800,-452
[08/01/2021 10:00],334,803,-534
[08/01/2021 11:00],226,637,-478
[08/01/2021 12:00],144,535,-443
[08/01/2021 13:00],134,530,-463
[08/01/2021 14:00],135,454,-359
[08/01/2021 15:00],142,458,-346
[08/01/2021 16:00],105,460,-359
[08/01/2021 17:00],169,547,-399
[08/01/2021 18:00],192,547,-372
[08/01/2021 19:00],186,491,-368
[08/01/2021 20:00],121,545,-486
[08/01/2021 21:00],119,483,-401
[08/01/2021 22:00],121,388,-199
[08/01/2021 23:00],102,489,-179
[09/01/2021 00:00],213,521,-169
[09/01/2021 01:00],170,403,11
[09/01/2021 02:00],220,679,-185
[09/01/2021 03:00],249,575,-18
[09/01/2021 04:00],189,512,153
[09/01/2021 05:00],146,526,176
[09/01/2021 06:00],179,633,43
[09/01/2021 07:00],171,501,219
[09/01/2021 08:00],199,636,86
[09/01/2021 09:00],223,597,128
[09/01/2021 10:00],240,497,261
[09/01/2021 11:00],276,525,214
[09/01/2021 12:00],249,551,261
[09/01/2021 13:00],259,494,424
[09/01/2021 14:00],313,654,453
[09/01/2021 15:00],389,726,514
[09/01/2021 16:00],477,956,361
[09/01/2021 17:00],508,1147,193
[09/01/2021 18:00],493,1169,88
[09/01/2021 19:00],432,1338,-249
[09/01/2021 20:00],411,1192,-365
[09/01/2021 21:00],294,898,-282
[09/01/2021 22:00],218,802,-345
[09/01/2021 23:00],258,887,-451
[10/01/2021 00:00],375,805,-223
[10/01/2021 01:00],465,708,-50
[10/01/2021 02:00],556,645,5
[10/01/2021 03:00],578,589,115
[10/01/2021 04:00],687,617,113
[10/01/2021 05:00],745,730,35
[10/01/2021 06:00],814,693,35
[10/01/2021 07:00],745,624,-28
[10/01/2021 08:00],810,696,-128
[10/01/2021 09:00],810,874,-239
[10/01/2021 10:00],804,1249,-419
[10/01/2021 11:00],805,1421,-342
[10/01/2021 12:00],875,1553,-320
[10/01/2021 13:00],1054,1443,-24
[10/01/2021 14:00],1118,1515,171
[10/01/2021 15:00],1092,1605,284
[10/01/2021 16:00],1244,1782,120
[10/01/2021 17:00],1031,1802,-54
[10/01/2021 18:00],917,1472,52
[10/01/2021 19:00],817,1357,-48
[10/01/2021 20:00],844,1468,-377
[10/01/2021 21:00],934,1485,-463
[10/01/2021 22:00],1066,1452,-199
[10/01/2021 23:00],1183,1518,30
[11/01/2021 00:00],1610,1726,81
[11/01/2021 01:00],1883,2140,-39
[11/01/2021 02:00],2116,2461,-20
[11/01/2021 03:00],2223,2649,69
[11/01/2021 04:00],2262,2726,228
[11/01/2021 05:00],2351,2826,414
[11/01/2021 06:00],2364,3089,300
[11/01/2021 07:00],2407,2978,472
[11/01/2021 08:00],2478,3323,296
[11/01/2021 09:00],2605,3421,425
[11/01/2021 10:00],2642,3521,471
[11/01/2021 11:00],2645,3796,315
[11/01/2021 12:00],2807,3903,317
[11/01/2021 13:00],2874,4042,207
[11/01/2021 14:00],2874,4104,85
[11/01/2021 15:00],2912,4246,-54
[11/01/2021 16:00],2926,4296,-37
[11/01/2021 17:00],2912,4529,-251
[11/01/2021 18:00],2947,4618,-354
[11/01/2021 19:00],3039,4544,-232
[11/01/2021 20:00],3084,4763,-281
[11/01/2021 21:00],3136,4969,-363
[11/01/2021 22:00],3079,4964,-337
[11/01/2021 23:00],2983,4916,-298
[12/01/2021 00:00],3134,4861,-276
[12/01/2021 01:00],2954,4775,-284
[12/01/2021 02:00],2762,4782,-378
[12/01/2021 03:00],2698,4585,-407
[12/01/2021 04:00],2575,4335,-733
[12/01/2021 05:00],2375,3828,-726
[12/01/2021 06:00],2160,3466,-820
[12/01/2021 07:00],1874,2639,-317
[12/01/2021 08:00],1954,1978,316
[12/01/2021 09:00],1930,2246,186
[12/01/2021 10:00],1870,2385,320
[12/01/2021 11:00],1945,2762,150
[12/01/2021 12:00],2108,2986,212
[12/01/2021 13:00],2388,3645,26
[12/01/2021 14:00],2329,3793,158
[12/01/2021 15:00],2285,3938,-66
[12/01/2021 16:00],2194,3775,-293
[12/01/2021 17:00],2125,3382,-350
[12/01/2021 18:00],2141,3156,-391
[12/01/2021 19:00],1950,3048,-366
[12/01/2021 20:00],1830,3060,-369
[12/01/2021 21:00],1700,2867,-175
[12/01/2021 22:00],1648,2721,-40
[12/01/2021 23:00],1661,2828,-188
[13/01/2021 00:00],1747,2978,-331
[13/01/2021 01:00],1801,3250,-482
[13/01/2021 02:00],1948,3212,-272
[13/01/2021 03:00],2129,3662,-473
[13/01/2021 04:00],2193,3693,-301
[13/01/2021 05:00],2177,3774,-230
[13/01/2021 06:00],2175,3779,-145
[13/01/2021 07:00],2133,3665,-94
[13/01/2021 08:00],2112,3723,-230
[13/01/2021 09:00],1920,3519,-97
[13/01/2021 10:00],1632,3625,-169
[13/01/2021 11:00],1545,3754,-200
[13/01/2021 12:00],1611,3651,144
[13/01/2021 13:00],1869,3789,275
[13/01/2021 14:00],1795,3749,347
[13/01/2021 15:00],1815,3713,241
[13/01/2021 16:00],1827,3636,166
[13/01/2021 17:00],1839,3685,-24
[13/01/2021 18:00],1755,3581,-109
[13/01/2021 19:00],1553,3157,56
[13/01/2021 20:00],1436,3136,-249
[13/01/2021 21:00],1316,2665,-222
[13/01/2021 22:00],1086,2590,-626
[13/01/2021 23:00],941,2340,-681
[14/01/2021 00:00],937,1936,-524
[14/01/2021 01:00],639,1803,-729
[14/01/2021 02:00],540,1718,-879
[14/01/2021 03:00],643,1558,-782
[14/01/2021 04:00],827,1328,-601
[14/01/2021 05:00],1050,1318,-692
[14/01/2021 06:00],1067,1232,-559
[14/01/2021 07:00],853,1183,-351
[14/01/2021 08:00],1012,1048,-291
[14/01/2021 09:00],1002,938,-263
[14/01/2021 10:00],1108,1121,-349
[14/01/2021 11:00],1160,1076,-139
[14/01/2021 12:00],1212,1016,157
[14/01/2021 13:00],1211,1052,328
[14/01/2021 14:00],1180,1181,291
[14/01/2021 15:00],1150,1106,430
[14/01/2021 16:00],1313,1199,372
[14/01/2021 17:00],1546,1445,174
[14/01/2021 18:00],1630,1771,-93
[14/01/2021 19:00],1529,2134,-447
[14/01/2021 20:00],1477,2102,-454
[14/01/2021 21:00],1423,1897,-355
[14/01/2021 22:00],1228,1530,-171
[14/01/2021 23:00],1119,1345,-223
[15/01/2021 00:00],1095,1354,-475
[15/01/2021 01:00],998,1040,-309
[15/01/2021 02:00],1025,994,-398
[15/01/2021 03:00],1075,1031,-584
[15/01/2021 04:00],976,1216,-857
[15/01/2021 05:00],891,1222,-904
[15/01/2021 06:00],922,1162,-858
[15/01/2021 07:00],741,1077,-769
[15/01/2021 08:00],799,1040,-767
[15/01/2021 09:00],463,880,-704
[15/01/2021 10:00],226,708,-588
[15/01/2021 11:00],123,798,-715
[15/01/2021 12:00],89,578,-518
[15/01/2021 13:00],86,426,-405
[15/01/2021 14:00],86,326,-319
[15/01/2021 15:00],83,393,-387
[15/01/2021 16:00],63,231,-226
[15/01/2021 17:00],64,116,-105
[15/01/2021 18:00],56,100,-75
[15/01/2021 19:00],98,273,-227
[15/01/2021 20:00],125,275,-216
[15/01/2021 21:00],156,301,-260
[15/01/2021 22:00],197,263,-224
[15/01/2021 23:00],234,136,-79
[16/01/2021 00:00],292,204,-134
[16/01/2021 01:00],304,47,24
[16/01/2021 02:00],360,149,-71
[16/01/2021 03:00],401,219,-145
[16/01/2021 04:00],511,281,-187
[16/01/2021 05:00],735,502,-337
[16/01/2021 06:00],958,697,-380
[16/01/2021 07:00],1181,824,-259
[16/01/2021 08:00],1313,1040,-56
[16/01/2021 09:00],1553,1416,103
[16/01/2021 10:00],1828,1463,418
[16/01/2021 11:00],2237,1892,502
[16/01/2021 12:00],2375,2298,586
[16/01/2021 13:00],2346,2591,519
[16/01/2021 14:00],2226,2686,546
[16/01/2021 15:00],2293,2725,671
[16/01/2021 16:00],2251,2657,863
[16/01/2021 17:00],2081,2902,641
[16/01/2021 18:00],1894,2736,652
[16/01/2021 19:00],1592,2274,969
[16/01/2021 20:00],1349,2120,1073
[16/01/2021 21:00],1214,1949,1086
[16/01/2021 22:00],1104,1816,972
[16/01/2021 23:00],1206,1770,585
[17/01/2021 00:00],1190,1515,491
[17/01/2021 01:00],1247,1390,542
[17/01/2021 02:00],1470,1486,553
[17/01/2021 03:00],1577,1384,565
[17/01/2021 04:00],1624,1384,350
[17/01/2021 05:00],1637,1659,49
[17/01/2021 06:00],1558,1421,229
[17/01/2021 07:00],1415,1270,204
[17/01/2021 08:00],1359,1343,-32
[17/01/2021 09:00],1441,1601,-333
[17/01/2021 10:00],1419,1522,-255
[17/01/2021 11:00],1287,1425,-132
[17/01/2021 12:00],1266,1658,-296
[17/01/2021 13:00],1235,2075,-564
[17/01/2021 14:00],1285,2154,-361
[17/01/2021 15:00],1485,2181,-148
[17/01/2021 16:00],1434,2186,-176
[17/01/2021 17:00],1221,2352,-649
[17/01/2021 18:00],1168,2119,-696
[17/01/2021 19:00],1284,2110,-730
